Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.3568600447360031,0.3786788026767687,0.3705308763748936,0.38838525073752206
1.85,0.348423726806319,0.3589467245216493,0.3169503065186744,0.45027891427509875
1.9,0.35019364328640273,0.36321356440406755,0.3421316536023009,0.3602336072495572
1.95,0.3545964029801008,0.36067999062127903,0.3594422045015862,0.36204946659279286
2.0,0.32359318187650143,0.37449485683958367,0.3651428937203104,0.38029176851229857
2.05,0.3504173651330455,0.3933933765168424,0.3720211204615139,0.3807776182904393
2.1,,0.48557122108838546,0.394150436238583,0.4237712571576916
2.15,,0.5542752284656474,0.3937480561889861,0.4093280503157291
2.2,,0.6460902940410724,0.40738857446609283,0.42868273145753466
2.25,,1.616019722547023,0.43100934821087683,0.4563180825790593
2.3,,1.7296676322849183,0.46310030758159143,0.4975754940552921
2.35,,1.8346573745543993,0.4984597044674484,0.5295282767057866
2.4,,1.1540058161777766,0.5243547045042594,0.5658959247589981
2.45,,2.0290098718908585,0.5333588340632125,0.6148043891073015
2.5,,2.044295177547293,0.5757162918876857,0.6622356563367577
2.55,,2.1319683505137155,0.6585971840749487,0.708299085980196
2.6,,2.2174897501454502,0.6570273214387461,0.7302611647108215
